City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Camana,PE,2022-11-30 00:27:40,-16.6228,-72.7111,67.41,85,89,6.73,overcast clouds
206,Olhao,PT,2022-11-30 00:27:40,37.0286,-7.8411,53.29,79,0,3.44,clear sky
207,Ugoofaaru,MV,2022-11-30 00:27:41,5.6667,73.0,80.8,70,68,3.83,broken clouds
208,Marawi,PH,2022-11-30 00:27:41,7.9986,124.2928,73.33,85,100,2.71,overcast clouds
209,Maloy,NO,2022-11-30 00:27:42,61.9353,5.1136,45.73,65,99,11.21,overcast clouds
210,Dzilam Gonzalez,MX,2022-11-30 00:27:42,21.2833,-88.9333,79.23,66,50,6.53,scattered clouds
211,Manbij,SY,2022-11-30 00:27:42,36.5281,37.9549,50.56,93,100,12.24,light rain
212,Sesheke,ZM,2022-11-30 00:27:43,-17.4759,24.2968,68.25,72,25,4.68,scattered clouds
213,Bandipur,NP,2022-11-30 00:27:44,27.9333,84.4167,49.15,76,67,2.51,broken clouds
214,Inhambane,MZ,2022-11-30 00:27:44,-23.865,35.3833,68.02,67,8,9.31,clear sky
215,Gulfport,US,2022-11-30 00:23:29,30.3674,-89.0928,73.4,96,100,9.22,mist
216,Ziarat,PK,2022-11-30 00:27:44,30.3823,67.7282,39.49,30,0,6.85,clear sky
217,Decatur,US,2022-11-30 00:27:45,39.8403,-88.9548,59.05,88,100,17.27,overcast clouds
218,Knysna,ZA,2022-11-30 00:27:45,-34.0363,23.0471,67.59,69,2,5.08,clear sky
219,Husavik,IS,2022-11-30 00:27:46,66.0449,-17.3389,34.52,80,24,14.74,few clouds
220,Iquique,CL,2022-11-30 00:27:46,-20.2208,-70.1431,68.04,79,49,2.33,scattered clouds
221,Matagami,CA,2022-11-30 00:27:46,49.7502,-77.6328,21.31,79,100,17.27,overcast clouds
222,Zambezi,ZM,2022-11-30 00:27:47,-13.5432,23.1047,62.26,94,97,3.04,overcast clouds
223,Alto Araguaia,BR,2022-11-30 00:27:47,-17.3147,-53.2153,75.65,36,30,3.76,scattered clouds
224,La Ligua,CL,2022-11-30 00:24:28,-32.4524,-71.2311,61.03,79,20,3.96,few clouds
225,Saint Anthony,US,2022-11-30 00:27:48,45.0205,-93.218,22.6,80,40,12.66,scattered clouds
226,Turayf,SA,2022-11-30 00:27:48,31.6725,38.6637,50.25,100,75,6.91,mist
227,Komsomolskiy,UZ,2022-11-30 00:27:49,40.4272,71.7189,43.52,87,73,4.61,mist
228,Keti Bandar,PK,2022-11-30 00:28:49,24.1447,67.4497,70.83,25,0,9.73,clear sky
229,Mashhad,IR,2022-11-30 00:28:50,36.297,59.6062,39.34,87,0,0.0,clear sky
230,Sorland,NO,2022-11-30 00:28:50,67.667,12.6934,40.86,74,100,15.52,light rain
231,Bambous Virieux,MU,2022-11-30 00:28:50,-20.3428,57.7575,72.21,94,75,1.14,broken clouds
232,Bure,ET,2022-11-30 00:28:51,10.7,37.0667,57.06,73,75,4.16,broken clouds
233,Burgersdorp,ZA,2022-11-30 00:28:51,-30.9977,26.3286,64.63,58,21,4.45,few clouds
234,Chake Chake,TZ,2022-11-30 00:28:52,-5.2459,39.7666,75.07,91,79,5.23,light rain
235,Kaspiyskiy,RU,2022-11-30 00:28:52,45.3929,47.3707,34.29,62,3,15.19,clear sky
236,Santa Maria,BR,2022-11-30 00:26:38,-29.6842,-53.8069,76.3,69,0,13.8,clear sky
237,Yarmouth,US,2022-11-30 00:28:53,41.7057,-70.2286,43.97,84,100,1.99,overcast clouds
238,Hillsborough,US,2022-11-30 00:27:57,37.5741,-122.3794,57.94,54,20,13.8,few clouds
239,Dhidhdhoo,MV,2022-11-30 00:28:53,6.8833,73.1,80.53,71,26,2.59,scattered clouds
240,Mahanoro,MG,2022-11-30 00:28:54,-19.9,48.8,73.49,85,75,8.93,broken clouds
241,Arlit,NE,2022-11-30 00:28:54,18.7369,7.3853,68.79,23,2,7.7,clear sky
242,Moussoro,TD,2022-11-30 00:28:54,13.6408,16.4901,69.15,20,49,8.32,scattered clouds
243,Rabak,SD,2022-11-30 00:28:55,13.1809,32.74,83.77,23,39,16.33,scattered clouds
244,Porto Novo,BJ,2022-11-30 00:28:56,6.4965,2.6036,78.66,83,77,6.06,broken clouds
245,Visby,SE,2022-11-30 00:28:56,57.6409,18.296,36.05,93,100,3.44,overcast clouds
246,Navrongo,GH,2022-11-30 00:28:57,10.8956,-1.0921,79.86,24,9,3.91,clear sky
247,Boa Vista,BR,2022-11-30 00:28:57,2.8197,-60.6733,78.78,83,0,1.14,clear sky
248,Sladkovo,RU,2022-11-30 00:28:57,55.5284,70.3385,-5.64,88,58,6.76,broken clouds
249,Nanortalik,GL,2022-11-30 00:28:58,60.1432,-45.2371,31.32,85,100,13.62,overcast clouds
250,Taoudenni,ML,2022-11-30 00:28:58,22.6783,-3.9836,64.11,18,12,10.78,few clouds
251,Westport,US,2022-11-30 00:28:59,41.1415,-73.3579,41.18,68,0,4.61,clear sky
252,Morrinhos,BR,2022-11-30 00:28:59,-17.7311,-49.0994,73.67,59,77,3.67,broken clouds
253,Borovoy,RU,2022-11-30 00:29:00,55.4333,86.0833,-17.32,83,56,2.24,mist
254,Vysha,RU,2022-11-30 00:29:00,53.8477,42.3777,19.17,90,17,4.05,few clouds
255,Rebrikha,RU,2022-11-30 00:29:00,53.0733,82.3408,-11.09,93,91,4.56,overcast clouds
256,Gigant,RU,2022-11-30 00:29:01,46.5066,41.3419,28.72,59,75,21.63,broken clouds
257,Talara,PE,2022-11-30 00:29:01,-4.5772,-81.2719,70.56,78,0,16.11,clear sky
258,Tanout,NE,2022-11-30 00:29:02,14.9709,8.8879,63.28,26,5,9.19,clear sky
