City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Vanavara,RU,2022-11-25 21:30:49,60.34,102.2797,-22.92,97,88,7.0
218,Dharchula,IN,2022-11-25 21:30:50,29.85,80.5333,55.72,21,23,7.56
219,Cidreira,BR,2022-11-25 21:30:50,-30.1811,-50.2056,69.06,78,0,8.81
220,Sao Filipe,CV,2022-11-25 21:30:51,14.8961,-24.4956,76.23,64,0,11.95
221,Thanh Hoa,VN,2022-11-25 21:30:51,19.8,105.7667,74.23,97,100,3.4
222,Bengkulu,ID,2022-11-25 21:30:51,-3.8004,102.2655,74.48,91,100,3.85
223,Charcas,MX,2022-11-25 21:30:52,23.1333,-101.1167,73.45,25,49,20.42
224,Vicosa,BR,2022-11-25 21:30:52,-20.7539,-42.8819,65.26,93,5,6.02
225,Formosa Do Rio Preto,BR,2022-11-25 21:30:53,-11.0483,-45.1931,69.57,96,100,3.15
226,Jasper,US,2022-11-25 21:30:53,37.2001,-94.3502,55.98,57,0,10.36
227,Boundiali,CI,2022-11-25 21:31:53,9.5217,-6.4869,73.89,28,0,0.56
228,Cabo San Lucas,MX,2022-11-25 21:27:49,22.8909,-109.9124,84.61,41,0,9.22
229,Bouake,CI,2022-11-25 21:31:54,7.6895,-5.0218,78.91,69,1,4.61
230,Namibe,AO,2022-11-25 21:31:54,-15.1961,12.1522,74.19,73,15,7.16
231,Yar-Sale,RU,2022-11-25 21:31:55,66.8333,70.8333,-3.51,96,100,11.95
232,Port Macquarie,AU,2022-11-25 21:31:55,-31.4333,152.9167,70.9,69,16,15.59
233,Tuatapere,NZ,2022-11-25 21:31:56,-46.1333,167.6833,48.63,80,98,7.23
234,Dingle,PH,2022-11-25 21:31:56,10.9995,122.6711,75.02,93,70,6.26
235,San Jose,US,2022-11-25 21:28:52,37.3394,-121.895,78.33,33,40,13.0
236,Auki,SB,2022-11-25 21:31:57,-8.7676,160.7034,83.43,70,96,1.72
237,Guarapuava,BR,2022-11-25 21:27:34,-25.3953,-51.4581,69.58,53,0,4.03
238,Axim,GH,2022-11-25 21:31:57,4.8699,-2.2405,79.41,83,1,9.24
239,Truth Or Consequences,US,2022-11-25 21:31:58,33.1284,-107.2528,50.23,36,100,17.27
240,Colonia,DE,2022-11-25 21:27:16,50.9333,6.95,48.88,85,20,3.44
241,Camocim,BR,2022-11-25 21:31:58,-2.9022,-40.8411,80.26,76,73,16.35
242,Avera,US,2022-11-25 21:31:59,33.194,-82.5271,62.65,94,100,4.65
243,Souillac,MU,2022-11-25 21:31:59,-20.5167,57.5167,75.58,73,40,11.5
244,Alta Floresta,BR,2022-11-25 21:32:00,-9.8756,-56.0861,73.56,93,99,2.15
245,Ketchikan,US,2022-11-25 21:32:00,55.3422,-131.6461,45.07,81,100,0.0
246,Abu Samrah,SY,2022-11-25 21:32:00,35.3029,37.1841,53.31,83,100,16.55
247,Khromtau,KZ,2022-11-25 21:32:01,50.2503,58.4347,9.55,92,82,14.16
248,Ginda,IN,2022-11-25 21:32:01,30.6945,78.4932,50.22,24,36,7.47
249,Simi,SL,2022-11-25 21:32:02,9.5667,-12.35,74.52,53,85,0.72
