City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,The Abidah By Accra
548,Florianopolis,BR,71.4,overcast clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
551,Dogondoutchi,NE,72.25,clear sky,13.6393,4.0287,Maison Alheri
552,Ler,SS,77.74,overcast clouds,8.3018,30.1418,Green Hotel
554,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
558,Maicao,CO,74.5,overcast clouds,11.3832,-72.2432,Hotel Las Dunas
560,Benguela,AO,76.01,overcast clouds,-12.5763,13.4055,Hotel Moibela
569,Santa Cruz,BO,87.26,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
570,Takoradi,GH,78.55,overcast clouds,4.8845,-1.7554,Hillcrest
572,Waw,SS,77.67,scattered clouds,7.7029,27.9953,Bahr Gazhal Hotel
573,Punta Cardon,VE,79.83,overcast clouds,11.6581,-70.215,Hotel Bijou Amethyste Punto Fijo Paraguana
579,Pontes E Lacerda,BR,78.58,heavy intensity rain,-15.2261,-59.3353,Hotel Avenida
592,Marsh Harbour,BS,77.13,scattered clouds,26.5412,-77.0636,Lofty Fig Villas
594,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
596,General Roca,AR,77.63,few clouds,-39.0333,-67.5833,Hotel Austral
597,Pocone,BR,82.85,scattered clouds,-16.2567,-56.6228,Tuiuiu
604,San Andres,CO,78.82,light intensity drizzle,12.5847,-81.7006,Hotel Decameron Isleño
605,Quelimane,MZ,73.35,broken clouds,-17.8786,36.8883,Mabassa
613,Santa Rosa,PH,88.09,broken clouds,14.3122,121.1114,JARS RESORT
623,Port Blair,IN,77.04,mist,11.6667,92.75,Andaman Ocean Breeze
628,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Bella Casa Hotel
631,Axim,GH,78.15,light rain,4.8699,-2.2405,Axim Beach Hotel
644,Tabou,CI,77.11,broken clouds,4.423,-7.3528,hôtel le rochet
645,Fomboni,KM,79.2,clear sky,-12.28,43.7425,Mohéli La Plage
648,Cap Malheureux,MU,72.46,overcast clouds,-19.9842,57.6142,Cape Garden
652,Sur,OM,75.06,clear sky,22.5667,59.5289,Sur Hotel
653,Barra Do Corda,BR,71.74,overcast clouds,-5.5,-45.25,Hotel Belcho
655,Natal,BR,79.45,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
658,Esplanada,BR,71.89,moderate rain,-11.7961,-37.945,Pousada Hits Mar
659,Bull Savanna,JM,74.8,clear sky,17.8868,-77.5902,Junction Guest House
666,Pemba,MZ,76.68,clear sky,-12.974,40.5178,Hotel Rafael
667,Conceicao Da Barra,BR,73.98,overcast clouds,-18.5933,-39.7322,Porto Marlin Hotel
669,Sebring,US,70.9,clear sky,27.4956,-81.4409,Residence Inn by Marriott Sebring
677,Pascagoula,US,75.92,overcast clouds,30.3658,-88.5561,Grand Magnolia
